OTUID	JF1	JF10	JF101	JF102	JF103	JF104	JF105	JF106	JF107	JF108	JF109	JF11	JF110	JF111	JF112	JF113	JF114	JF115	JF116	JF117	JF118	JF119	JF12	JF120	JF121	JF122	JF123	JF124	JF125	JF126	JF127	JF128	JF129	JF13	JF130	JF131	JF132	JF14	JF15	JF16	JF17	JF18	JF19	JF2	JF20	JF21	JF22	JF23	JF24	JF25	JF26	JF27	JF28	JF29	JF3	JF30	JF301	JF302	JF303	JF304	JF305	JF306	JF307	JF308	JF309	JF31	JF310	JF311	JF312	JF313	JF314	JF315	JF316	JF317	JF318	JF319	JF32	JF320	JF321	JF322	JF4	JF401	JF402	JF403	JF404	JF405	JF406	JF407	JF408	JF409	JF410	JF411	JF412	JF413	JF414	JF415	JF416	JF417	JF418	JF5	JF7	JF8	JF9
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria;D_3__Methanobacteriales;D_4__Methanobacteriaceae;D_5__Methanosphaera	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	644.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	323.0	0.0	0.0	0.0	0.0	0.0	374.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	831.0	0.0	0.0	0.0	178.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	604.0	413.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium	14.0	5.0	6.0	0.0	11.0	9.0	0.0	37.0	14.0	18.0	0.0	21.0	0.0	4.0	3.0	8.0	0.0	17.0	0.0	25.0	0.0	0.0	0.0	0.0	24.0	105.0	93.0	0.0	79.0	8.0	11.0	0.0	0.0	3097.0	8.0	11.0	127.0	0.0	11.0	11.0	260.0	0.0	70.0	17.0	8.0	132.0	24.0	6.0	8.0	14.0	0.0	42.0	0.0	23.0	17.0	0.0	10.0	634.0	0.0	752.0	0.0	1109.0	4.0	2236.0	0.0	0.0	465.0	0.0	1015.0	0.0	251.0	10.0	870.0	5.0	230.0	0.0	0.0	1279.0	7.0	1456.0	32.0	8.0	776.0	12.0	723.0	6.0	347.0	16.0	25.0	37.0	1170.0	0.0	1158.0	10.0	31.0	104.0	45.0	11.0	408.0	143.0	535.0	0.0	75.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales;D_4__Corynebacteriaceae;D_5__Corynebacterium 1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	1039.0	7.0	56.0	17.0	30.0	0.0	0.0	0.0	20.0	0.0	0.0	7.0	21.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales;D_4__Corynebacteriaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	4.0	0.0	2.0	0.0	0.0	7.0	2.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Micrococcaceae;D_5__Rothia	13.0	23.0	21.0	4.0	14.0	10.0	23.0	19.0	3.0	3.0	48.0	2.0	12.0	22.0	9.0	26.0	31.0	28.0	8.0	20.0	35.0	3.0	10.0	42.0	63.0	6.0	14.0	11.0	16.0	19.0	35.0	35.0	15.0	0.0	48.0	29.0	22.0	15.0	23.0	6.0	18.0	35.0	0.0	3.0	5.0	17.0	0.0	2.0	5.0	8.0	3.0	5.0	4.0	33.0	0.0	10.0	26.0	17.0	9.0	4.0	0.0	10.0	9.0	2.0	2.0	0.0	33.0	11.0	4.0	15.0	33.0	0.0	0.0	13.0	5.0	4.0	12.0	15.0	10.0	0.0	6.0	29.0	18.0	49.0	35.0	21.0	89.0	42.0	143.0	12.0	62.0	12.0	43.0	23.0	54.0	20.0	0.0	15.0	15.0	19.0	0.0	7.0	4.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Micrococcaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	213.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Atopobiaceae;D_5__Coriobacteriaceae UCG-002	11.0	0.0	22.0	4.0	2.0	0.0	20.0	4.0	0.0	8.0	0.0	112.0	78.0	0.0	7.0	0.0	3.0	5.0	0.0	20.0	8.0	13.0	3.0	19.0	0.0	0.0	60.0	0.0	0.0	2.0	0.0	21.0	12.0	106.0	3.0	0.0	17.0	4.0	24.0	18.0	98.0	58.0	51.0	7.0	2.0	877.0	0.0	83.0	193.0	4.0	2.0	163.0	7.0	60.0	23.0	4.0	0.0	267.0	0.0	250.0	4.0	296.0	0.0	326.0	8.0	24.0	56.0	3.0	220.0	0.0	46.0	0.0	285.0	7.0	110.0	0.0	10.0	466.0	6.0	209.0	0.0	0.0	157.0	0.0	83.0	0.0	34.0	6.0	21.0	24.0	97.0	3.0	345.0	0.0	31.0	3.0	17.0	0.0	53.0	140.0	426.0	0.0	128.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriaceae;D_5__Collinsella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriales Incertae Sedis;D_5__uncultured	14.0	2.0	7.0	8.0	3.0	2.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	2.0	6.0	0.0	3.0	11.0	2.0	3.0	0.0	2.0	10.0	4.0	6.0	0.0	0.0	0.0	2.0	7.0	4.0	3.0	8.0	7.0	24.0	2.0	46.0	0.0	3.0	8.0	13.0	14.0	0.0	5.0	2.0	6.0	7.0	11.0	0.0	10.0	0.0	17.0	0.0	3.0	0.0	0.0	0.0	5.0	0.0	9.0	13.0	0.0	4.0	0.0	0.0	0.0	10.0	0.0	6.0	0.0	9.0	8.0	0.0	0.0	0.0	8.0	3.0	12.0	11.0	9.0	9.0	24.0	5.0	7.0	3.0	9.0	5.0	6.0	11.0	0.0	4.0	2.0	3.0	4.0	11.0	13.0	8.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Eggerthellaceae;D_5__Enterorhabdus	7.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	0.0	14.0	9.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	12.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	22.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0
